trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",30,0,-152.25940605796248,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",25,0,-177.675857860548,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",20,0,-73.92825095208902,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-75.91232277995069,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999998}",20,0,-49.21956840275662,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639998}",25,0,-138.61393955763137,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467198}",25,0,-69.92584669996296,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817854}",20,15,4.121204553899791,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.8337477621301497}",30,0,-116.82656962209388,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,14,5.2145861424873114,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8007313507497957}",20,0,-36.88231920485672,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-65.82140843776027,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",25,0,-66.39185249751291,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",25,0,-185.4350175854661,"{0: 11, 1: 2, 2: 7, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454037}",20,0,-136.64502302612956,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",30,19,-77.41880096368737,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",30,0,-151.13417159366358,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,0,-40.883068142030304,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,0,-51.43378915876738,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",25,12,-43.600093136725526,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",25,0,-98.30194180726279,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,19,2.611376236541325,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.6283472821521205}",20,0,-38.932040313354534,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",20,2,-59.713294183040446,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.6034647297788965}",25,17,-20.202000829534914,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.5913954351833186}",25,0,5.0296267387135245,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",25,8,-6.614233364655587,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,0,-78.28950999961323,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,8,-2.5867992439995833,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",25,14,9.792511696987223,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",20,8,6.443662224847753,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",30,0,-72.76549357301005,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",20,0,-49.11329615961375,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,12,11.719143240319491,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.493074620618078}",30,22,12.987831521103171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,5,-63.63991468494419,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",30,15,2.3889477050191994,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.46407788832877006}",30,0,-41.59131849598335,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.45479633056219465}",20,0,5.824009482831778,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
