trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-106.2031568241817,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-60.49853592103388,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-77.96540053795563,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-288.0712759778961,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-123.83195283822478,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-194.9025407877743,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-68.55780991197447,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-51.731652418537934,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-76.54686692409862,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-132.4078365543432,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-86.50972225996671,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-121.70636730943596,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-18.794207892453418,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-276.48656377227593,"{0: 9, 1: 2, 2: 8, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-156.51264439436468,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-68.66223449624333,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-129.88572789851642,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-84.93830251734518,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-91.22300117960448,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-165.12650812379633,"{0: 8, 1: 0, 2: 9, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-103.48288026749805,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
